Heitor Aragão,5,6,6,4,2
Nina Viana,9,10,6,1,3
Clara da Rocha,6,7,4,9,9
Pedro Lucas Araújo,9,3,7,2,1
Ana Clara das Neves,7,4,6,6,3
Ana Julia Cavalcanti,10,2,9,10,4
Enzo Melo,10,10,3,6,5
Letícia Jesus,5,5,5,6,2
Beatriz Moreira,3,1,2,4,6
André Mendes,1,4,4,2,6
Cauê Fogaça,10,1,3,5,5
Ana Vitória Moraes,5,10,6,2,2
Dra. Heloísa Pinto,5,5,5,6,8
Cecília Costa,4,4,2,9,4
Heitor Martins,6,10,2,9,2
Maria Mendes,3,1,3,2,7
Carolina da Mata,3,1,1,5,5
Thiago Silveira,7,4,1,4,7
Davi Lucas Gomes,6,3,8,9,8
Catarina Barros,4,2,10,3,1
Srta. Carolina Almeida,10,2,9,2,1
Luigi Pereira,9,8,2,8,6
Alexandre da Rosa,10,8,2,7,10
Sr. Luiz Otávio Cardoso,4,9,10,7,10
Pedro Castro,9,8,4,5,4
Paulo da Rosa,3,4,5,5,5
Maria Luiza Correia,5,2,7,1,5
Dr. Pedro Henrique Rezende,10,10,2,3,1
Leandro Rodrigues,4,7,1,5,4
Sra. Melissa da Cunha,5,3,2,10,1
Dra. Laura Pereira,6,3,1,1,5
Rodrigo Jesus,10,2,8,8,1
Ana Gonçalves,3,8,2,3,1
Nicolas Campos,2,8,7,6,10
Gabriel da Rosa,2,2,3,3,2
João Pedro Moura,1,3,3,5,1
Ryan Nascimento,4,6,1,9,2
Diogo Aragão,7,3,5,5,2
João Cardoso,10,4,7,2,5
Gabriel Novaes,3,6,10,8,10
